"","primerid","Pr(>Chisq)","coef","ci.hi","ci.lo","fdr","label"
"8237","DOCK3",1,NA,NA,NA,1,FALSE
"8238","DOCK4",4.29238446408175e-23,-0.0889772666934902,-0.0653039520581444,-0.112650581328836,3.87100016796955e-21,FALSE
"8239","DOCK4-AS1",1,NA,NA,NA,1,FALSE
"8240","DOCK5",0.0660914159155727,-0.00181348988161854,0.0146066102338404,-0.0182335899970775,0.257335178669618,FALSE
"8241","DOCK6",1,NA,NA,NA,1,FALSE
"8242","DOCK7",0.000222140309070578,-0.0253207890055465,-0.0112155652547832,-0.0394260127563097,0.00205491906160313,FALSE
"8243","DOCK8",0.000186644649270082,0.0377870218908164,0.0585120510511705,0.0170619927304622,0.00175637916493593,FALSE
"8244","DOCK8-AS1",0.700844282787309,0.00163007306929421,0.00519543609209874,-0.00193528995351031,1,FALSE
"8245","DOCK9",0.469476052319333,0.000658701829100214,0.00474565977834279,-0.00342825612014236,1,FALSE
"8246","DOCK9-DT",1,NA,NA,NA,1,FALSE
"8247","DOHH",0.175522621667353,-0.00598957169136411,0.00134099231941747,-0.0133201357021457,0.542727009191159,FALSE
"8248","DOK1",0.585335489319207,0.0029721612779221,0.00865091768956148,-0.00270659513371729,1,FALSE
"8249","DOK2",0.000535013887565853,0.0218071039159568,0.0371511984528989,0.00646300937901464,0.00444300521911564,FALSE
"8250","DOK3",0.0952785264749887,0.00314984873026551,0.0176012481175192,-0.0113015506569882,0.339025824644801,FALSE
"8251","DOK4",1,NA,NA,NA,1,FALSE
"8252","DOK6",1,NA,NA,NA,1,FALSE
"8253","DOK7",1,NA,NA,NA,1,FALSE
"8254","DOLK",1,NA,NA,NA,1,FALSE
"8255","DOLPP1",1,NA,NA,NA,1,FALSE
"8256","DONSON",0.0893146864750984,-0.0057427640408934,0.00122281894771487,-0.0127083470295017,0.323231924601564,FALSE
"8257","DOP1A",0.790899676266055,0.00241185849593486,0.00941098425399602,-0.0045872672621263,1,FALSE
"8258","DOP1B",0.98301403559925,-0.00059647384148963,0.00542924497374363,-0.00662219265672289,1,FALSE
"8259","DOT1L",8.82007873983202e-25,-0.105999587919678,-0.0799763740263925,-0.132022801812964,9.16293768300294e-23,FALSE
"8260","DPAGT1",0.783921992004842,0.00137794381730732,0.00514747325796606,-0.00239158562335141,1,FALSE
"8261","DPCD",8.95138454185991e-05,0.00770405584899867,0.0103915887649828,0.00501652293301456,0.000924046237679674,FALSE
"8262","DPEP2",0.000153664708373043,0.00959163769795893,0.0174121396655923,0.0017711357303256,0.00148123007545521,FALSE
"8263","DPEP3",1,NA,NA,NA,1,FALSE
"8264","DPF1",1,NA,NA,NA,1,FALSE
"8265","DPF2",0.000740949214928684,-0.0252370920347423,-0.0102500140059348,-0.0402241700635498,0.00588565843777496,FALSE
"8266","DPF3",1,NA,NA,NA,1,FALSE
"8267","DPH1",0.83814010242942,NA,NA,NA,1,FALSE
"8268","DPH2",0.182730928846009,-0.00547727421333,0.00137408178537556,-0.0123286302120356,0.560517668987331,FALSE
"8269","DPH3",0.00226665142445451,-0.0268980682676424,-0.00431948871407406,-0.0494766478212107,0.0154609409843786,FALSE
"8270","DPH5",0.00175954072810442,0.00683294983784652,0.0137380668104082,-7.21671347151485e-05,0.0124382743998389,FALSE
"8271","DPH6",0.557595224208265,0.00291669644461256,0.00785853397589444,-0.00202514108666931,1,FALSE
"8272","DPH6-DT",1,NA,NA,NA,1,FALSE
"8273","DPH7",0.28953495252731,0.00228122782908246,0.00880973508510808,-0.00424727942694315,0.788906434676174,FALSE
"8274","DPM1",0.00032231890711586,0.00766758822147018,0.0243410995254437,-0.00900592308250334,0.00284977246495888,FALSE
"8275","DPM2",0.57619682695006,-0.00276420067806073,0.00756692949140333,-0.0130953308475248,1,FALSE
"8276","DPM3",0.817482032859297,0.00118651457426056,0.0173392999536547,-0.0149662708051336,1,FALSE
"8277","DPP10-AS1",1,NA,NA,NA,1,FALSE
"8278","DPP3",0.0150416544276014,0.00566629587360492,0.00873162582437887,0.00260096592283098,0.0764088644017633,FALSE
"8279","DPP4",0.886046906041809,-0.000605220017730978,0.00227547405904242,-0.00348591409450437,1,FALSE
"8280","DPP7",0.000543521031142782,0.00687396007541755,0.0286088584371333,-0.0148609382862982,0.00449954734883163,FALSE
"8281","DPP8",0.634202684781553,-0.00600244475602404,0.00956755516556541,-0.0215724446776135,1,FALSE
"8282","DPP9",0.143314483013509,-0.011991458824234,0.000863422446181504,-0.0248463400946494,0.463292671527384,FALSE
"8283","DPP9-AS1",1,NA,NA,NA,1,FALSE
"8284","DPPA4",1,NA,NA,NA,1,FALSE
"8285","DPY19L1",0.597485989704338,-0.00328446033745806,0.00431879553815907,-0.0108877162130752,1,FALSE
