p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,1.4673341483419102,0.779,0.291,0,12,CST7
0,1.4403507464661784,0.896,0.406,0,12,B2M
0,1.4252225510908028,0.675,0.23,0,12,CD8A
0,1.4197806873286605,0.776,0.308,0,12,APOBEC3G
0,1.3024781680523667,0.659,0.367,0,12,CRIP1
0,3.9573904486688827,0.751,0.224,0,13,GNLY
0,2.8248095805896183,0.898,0.294,0,13,NKG7
0,2.7944225493149446,0.908,0.3,0,13,CCL5
0,2.3282871478053493,0.814,0.224,0,13,GZMH
0,2.1304478464127077,0.776,0.238,0,13,GZMA
0,1.8939561953224238,0.734,0.209,0,13,FGFBP2
0,1.7627845149083425,0.8,0.291,0,13,CST7
0,1.7172721578796248,0.748,0.321,0,13,IL32
0,1.680385346238706,0.712,0.228,0,13,GZMB
0,1.640503533487163,0.885,0.408,0,13,B2M
0,3.4048896853288557,0.934,0.358,0,14,FTH1
0,3.3472946569530704,0.894,0.279,0,14,FTL
0,3.139269320185828,0.861,0.188,0,14,LST1
0,3.131525042866066,0.922,0.228,0,14,CST3
0,3.087414888043181,0.907,0.206,0,14,AIF1
0,2.5915411665256887,0.731,0.242,0,14,TIMP1
0,2.5365841399346576,0.873,0.231,0,14,IFI30
0,2.445847593947237,0.725,0.163,0,14,IFITM3
0,2.445053823347754,0.83,0.248,0,14,HLA-DRA
4.946930519505524e-183,2.330786140209519,0.55,0.158,1.484079155851657e-179,14,FCGR3A
0,1.7659881158564763,0.649,0.314,0,15,CCL5
0,1.5150891806658695,0.341,0.243,0,15,GNLY
0,1.427497183647137,0.608,0.309,0,15,NKG7
0,1.1353429070997358,0.634,0.318,0,15,APOBEC3G
0,1.096078768026652,0.774,0.416,0,15,B2M
0,0.9921792034062029,0.601,0.303,0,15,CST7
0,0.9808778327245932,0.829,0.479,0,15,RPS3
0,0.9547987877252682,0.826,0.488,0,15,RPS27
0,0.9452324370270069,0.681,0.374,0,15,CD3D
5.976674407051326e-199,1.0190793250586496,0.606,0.372,1.7930023221153976e-195,15,CRIP1
0,2.324288374703831,0.644,0.22,0,16,FOS
0,2.204919671855626,0.652,0.308,0,16,JUN
0,2.0205860456301568,0.736,0.289,0,16,CD69
0,1.7759947234572317,0.793,0.306,0,16,TSC22D3
0,1.7057306131325536,0.71,0.358,0,16,RGCC
0,1.6787503506884112,0.781,0.403,0,16,LINC01578
0,1.6448422243458771,0.802,0.364,0,16,SRSF7
0,1.6256380436414302,0.688,0.223,0,16,DNAJB1
0,1.624523564050282,0.772,0.375,0,16,TNFAIP3
0,1.505599611306049,0.689,0.367,0,16,KLF6
0,1.6753822389409156,0.873,0.172,0,17,LEF1
0,1.6501495101461576,0.734,0.157,0,17,TSHZ2
0,1.594179525526809,0.81,0.235,0,17,SELL
0,1.549000498536944,0.911,0.295,0,17,CCR7
0,1.471181807548166,0.869,0.168,0,17,CMTM8
0,1.455307109681828,0.977,0.449,0,17,RPL13
0,1.4038246562646919,0.934,0.45,0,17,RPS12
0,1.3909873909588075,0.844,0.199,0,17,PASK
0,1.3260600315091866,0.954,0.447,0,17,RPS8
0,1.3050285066504554,0.759,0.209,0,17,PRKCQ-AS1
0,3.145521161036686,0.7,0.237,0,18,GNLY
0,2.334530312234856,0.829,0.309,0,18,NKG7
0,2.1916518805653094,0.754,0.293,0,18,CD69
0,1.963981197330022,0.724,0.239,0,18,GZMB
0,1.8742315069220694,0.72,0.251,0,18,GZMA
0,1.8320283486486386,0.72,0.317,0,18,CCL5
5.164348600059736e-307,2.251825037133675,0.671,0.224,1.5493045800179206e-303,18,FOS
3.1358317089832468e-251,2.060841933869801,0.68,0.312,9.40749512694974e-248,18,JUN
5.523328209427783e-197,2.0184957670876242,0.56,0.112,1.6569984628283348e-193,18,XCL2
3.795429035325016e-161,2.179216422605875,0.607,0.152,1.1386287105975047e-157,18,IFNG
0,1.5471475021838632,0.769,0.321,0,19,SYNE2
0,1.4305169764725834,0.861,0.436,0,19,MALAT1
0,1.3529471600442697,0.817,0.33,0,19,BCL11B
0,1.1523147477387916,0.691,0.203,0,19,GPRIN3
2.488241672250742e-244,1.106695004414329,0.74,0.349,7.464725016752227e-241,19,CLEC2D
6.972225478860811e-241,1.2230786501373363,0.726,0.305,2.0916676436582433e-237,19,RORA
2.460965589401251e-237,1.1281479167087385,0.741,0.408,7.382896768203753e-234,19,ANKRD12
1.3091671575606835e-185,1.1408882863346208,0.631,0.211,3.927501472682051e-182,19,SESN3
1.7878539644066768e-183,1.0786324720870155,0.69,0.402,5.363561893220031e-180,19,PABPC1
3.069071294260206e-116,1.1270964115249726,0.612,0.321,9.207213882780618e-113,19,RNF213
0,4.186212800297266,0.998,0.259,0,20,HLA-DRA
0,3.8393436492343618,0.976,0.243,0,20,CST3
0,3.7632766930004973,0.989,0.271,0,20,HLA-DPA1
0,3.7480577628986973,0.991,0.286,0,20,HLA-DPB1
0,3.2470376248159565,0.993,0.294,0,20,CD74
0,3.212528875037811,0.957,0.184,0,20,HLA-DQA1
0,3.0050005368664445,0.978,0.253,0,20,HLA-DQB1
0,2.9873876885615998,0.967,0.279,0,20,HLA-DRB1
