Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	significant	gene_class	-log10_p_val
GAPT	1.2539794920617364e-57	-0.5902928936627341	0.256	0.38	4.575144176787245e-53	TRUE	Other	52.339595215434365
NBPF19	6.431440850965473e-57	-0.4412211487263933	0.439	0.575	2.346511194474752e-52	TRUE	Other	51.62957736956271
SRGN	1.3160076390732708e-56	-0.2163219485827197	0.989	0.992	4.8014538711588294e-52	FALSE	Other	51.31862723916245
EIF1AY	2.0909535651851647e-56	0.513466042000206	0.216	0.096	7.628844082578072e-52	TRUE	Other	51.11754126107368
CREBRF	3.395713234134629e-56	-0.4727535753770771	0.305	0.436	1.2389259734740193e-51	TRUE	Other	50.90695464218907
ARPC5	3.455762001732751e-56	-0.33852699363168437	0.786	0.853	1.260834766332194e-51	TRUE	Other	50.89934182442776
EEF1D	5.432837488133505e-56	0.2780355530812928	0.927	0.914	1.982170757545509e-51	TRUE	Other	50.70285893518607
ACTG1	1.1839285237531539e-55	0.3043109525438621	0.918	0.907	4.3195632189133825e-51	TRUE	Other	50.364560165501274
SLC2A6	7.743921696982242e-55	-0.4026524077464131	0.289	0.432	2.825369831143971e-50	TRUE	Other	49.54892469647726
CD44	1.1047814108439948e-54	-0.2519576040944447	0.962	0.981	4.030794977464315e-50	TRUE	Other	49.394609291259094
CAPG	1.9301795092407677e-54	-0.3981867627147064	0.419	0.553	7.0422599394649425e-50	TRUE	Other	49.1522879485655
PRDX1	2.0755606173391735e-54	0.589497399250019	0.696	0.631	7.572682912361976e-50	TRUE	Other	49.12075022781748
SERPINB2	2.9701315315899507e-54	-0.6371429593000628	0.39	0.532	1.0836524893005938e-49	TRUE	Other	48.96510996703725
NME2	3.7579634143976015e-54	0.3710568067862696	0.775	0.724	1.3710929517429649e-49	TRUE	Other	48.862933101694324
SPPL2A	1.6298991022858082e-53	-0.3859637512891647	0.352	0.49	5.946686874689771e-49	TRUE	Other	48.22572492885814
PLAC8	1.6425929463958678e-53	0.5226569810145794	0.424	0.279	5.9930003649253246e-49	TRUE	Other	48.22235569585849
HLA-DQA2	2.132492832604807e-53	0.518502949140182	0.302	0.169	7.780400099758638e-49	TRUE	Other	48.10899806925073
TMEM107	3.571125816368183e-53	0.6118889858074754	0.384	0.246	1.3029252541019315e-48	TRUE	Other	47.88508049807267
CCL7	3.770874964960544e-53	1.017219848554197	0.324	0.191	1.3758037309658545e-48	TRUE	Other	47.861443517145695
THBD	6.979613336321588e-53	0.6347383121456859	0.219	0.102	2.5465119257569312e-48	TRUE	Other	47.594054285606674
PDLIM5	2.0611440694544182e-52	-0.4268813201087094	0.209	0.33	7.520084137404447e-48	TRUE	Other	47.1237773003384
CANX	2.1624172913935792e-52	-0.3917760119012877	0.594	0.677	7.889579487649472e-48	TRUE	Other	47.10294614394651
IGSF6	2.565254427220294e-52	-0.5256195702993267	0.472	0.589	9.359330777713241e-48	TRUE	Other	47.02875520360558
DAPK1	3.832144434769571e-52	-0.3776795967968114	0.113	0.213	1.3981578970256776e-47	TRUE	Other	46.85444377999612
FAU	3.9570786879910094e-52	0.16868704643490418	0.987	0.989	1.4437401593135195e-47	FALSE	Other	46.84051096295107
LDHB	7.385801268963297e-52	0.4802181959437142	0.405	0.272	2.694709592981259e-47	TRUE	Other	46.56948803157615
GPNMB	1.0736426104282295e-51	-0.27682930529916283	0.019	0.073	3.917185064147395e-47	TRUE	Other	46.40702591008618
ENG	1.2312276091578952e-51	-0.38119174555466984	0.219	0.346	4.49213393201258e-47	TRUE	Other	46.34754730382044
ATP6V0B	4.289871678737042e-51	-0.30845525018218467	0.743	0.815	1.5651596819872096e-46	TRUE	Other	45.80544134791421
SLC7A11	1.0764461736185504e-50	-0.526855413992386	0.508	0.642	3.9274138644472814e-46	TRUE	Other	45.405893331076136
LDHA	1.3129626713765326e-50	0.48910294768952456	0.63	0.522	4.790344306517278e-46	TRUE	Other	45.31963327050054
RRAGC	1.3359402751252473e-50	-0.2997224787421945	0.14	0.252	4.8741780937944645e-46	TRUE	Other	45.3120986065138
NDUFS5	4.1573968961396436e-50	0.4443634899160278	0.524	0.404	1.516826257556549e-45	TRUE	Other	44.81906416193295
LINC01588	1.0334585920379449e-49	0.40936692226839266	0.282	0.155	3.7705736730504416e-45	TRUE	Other	44.4235925691347
PMP22	1.5451308914836797e-49	0.4506409931230939	0.114	0.03	5.637410057578205e-45	TRUE	Other	44.248920374037986
GADD45A	2.6656749079438513e-49	0.4935129844344749	0.254	0.132	9.72571490163314e-45	TRUE	Other	44.01207846543433
TFEC	2.900006723788069e-49	-0.4047526778882368	0.153	0.26	1.0580674531740768e-44	TRUE	Other	43.97548664458109
EIF3E	3.576702941181484e-49	0.3692817156230621	0.741	0.697	1.3049600680900646e-44	TRUE	Other	43.8844027775774
JUND	5.8871477074074506e-49	0.4191266678808741	0.835	0.823	2.147925841047609e-44	TRUE	Other	43.66798071709715
HCST	5.913854592902885e-49	0.44079776513197455	0.714	0.656	2.1576698482206178e-44	TRUE	Other	43.666015007320006
ABCA1	1.3113208989244636e-48	-0.3659035689262007	0.391	0.529	4.784354299725906e-44	TRUE	Other	43.32017666666212
SLC9A3R2	1.3355096947020126e-48	-0.13406723269890575	0.007	0.043	4.872607121120293e-44	FALSE	Other	43.31223860442172
S100A9	1.6004667622778804e-48	0.22493485160479132	0.962	0.931	5.839302982170847e-44	FALSE	Other	43.23363899005594
OSBPL8	5.786598794572624e-48	-0.43253022520173534	0.576	0.68	2.111240570199822e-43	TRUE	Other	42.675462277181424
TMEM138	7.7586475854517e-48	-0.2714938177729199	0.064	0.144	2.8307425715520534e-43	TRUE	Other	42.54809962368959
MIR4435-2HG	1.4882410142448844e-47	0.642703143854064	0.355	0.239	5.4298473404724605e-43	TRUE	Other	42.26521238037845
PDE4DIP	1.9270510110582686e-47	-0.4955568201607723	0.466	0.578	7.030845613846093e-43	TRUE	Other	42.15299243837397
EVA1B	2.246186590911644e-47	-0.4009798255434269	0.208	0.323	8.195211776941133e-43	TRUE	Other	42.08643981910769
CD63	2.5204101346402873e-47	-0.3613758708789722	0.856	0.901	9.195716376235088e-43	TRUE	Other	42.036414432154345
CD58	3.684880335042358e-47	-0.3520176013290812	0.351	0.486	1.3444285902402044e-42	TRUE	Other	41.871462260520076
SWAP70	8.289484770230537e-47	-0.35973633017065876	0.197	0.312	3.0244185184186115e-42	TRUE	Other	41.51935811143035
CLIP1	1.0576284806137687e-46	-0.3729819677606523	0.304	0.429	3.858757511519335e-42	TRUE	Other	41.41355251210441
SEC22B	1.9082761226819723e-46	-0.3678779241950554	0.384	0.505	6.962345433605175e-42	TRUE	Other	41.157244433193796
GRN	2.6725032753752115e-46	-0.3605198841591852	0.551	0.669	9.750628200206458e-42	TRUE	Other	41.010967403266136
CKAP4	3.5046755484563205e-46	-0.37048467873737634	0.309	0.434	1.278680873854288e-41	TRUE	Other	40.89323783082825
AC093583.1	5.1252921349780765e-46	-0.20027869492132996	0.025	0.08	1.869962835446751e-41	FALSE	Other	40.728167024758044
PPP1R12A	6.7098849425818685e-46	-0.3682815970278128	0.282	0.403	2.448101521300994e-41	TRUE	Other	40.61117057622149
HNRNPA1	7.217136115274465e-46	0.3032092094507921	0.874	0.84	2.633172111657888e-41	TRUE	Other	40.57952075323712
PMAIP1	8.63757453528829e-46	0.4115205316650637	0.481	0.344	3.1514190691999325e-41	TRUE	Other	40.50149384140246
FCER2	2.8435584764753644e-45	0.29623894745056245	0.073	0.009	1.0374723101420363e-40	TRUE	Other	39.984023485664544
IL1R1	3.0431627416832216e-45	-0.5669337232568248	0.246	0.358	1.1102979263031235e-40	TRUE	Other	39.954560471313705
