Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	significant	gene_class	-log10_p_val
MBOAT7	0.00723505398235726	0.14574410271780058	0.157	0.141	1	FALSE	Other	-0
IDH3B	0.00725317106873985	0.12093307275342192	0.155	0.137	1	FALSE	Other	-0
AC004865.2	0.00728133423737788	0.03578855860916659	0.021	0.014	1	FALSE	Other	-0
SOCS6	0.0072988684299336	-0.04019608983388728	0.044	0.056	1	FALSE	Other	-0
AP003307.1	0.0073157812943149	0.03239303165814956	0.037	0.027	1	FALSE	Other	-0
UBL7	0.00733504601926807	0.05748504783515548	0.043	0.032	1	FALSE	Other	-0
MANEA-DT	0.00733814404009726	0.03340431694675699	0.014	0.008	1	FALSE	Other	-0
ALKBH4	0.00734088674168846	-0.01064272193198231	0.017	0.025	1	FALSE	Other	-0
CD300C	0.00736200046479488	0.06475239008249056	0.134	0.115	1	FALSE	Other	-0
AC018809.1	0.00736855515125604	-0.01282623984933203	0.001	0.003	1	FALSE	Other	-0
DTWD1	0.00737831361059013	0.07848287684945736	0.038	0.028	1	FALSE	Other	-0
COL17A1	0.00738891176781043	-0.00711640885704689	0.001	0.003	1	FALSE	Other	-0
CCNG1	0.00739842472474517	-0.01504685873900318	0.1	0.119	1	FALSE	Other	-0
SEMA7A	0.00740421232082235	-0.00828602377108879	0.001	0.003	1	FALSE	Other	-0
AS3MT	0.00741954128757263	-0.0054245865433873	0.001	0.003	1	FALSE	Other	-0
C4orf48	0.00745532469872626	0.16160307747868785	0.39	0.382	1	FALSE	Other	-0
USP24	0.00746777851646536	-0.01465928099552951	0.048	0.061	1	FALSE	Other	-0
ERLIN2	0.00747228881678936	0.05843676581503101	0.057	0.044	1	FALSE	Other	-0
SLC35E4	0.00750665880590048	-0.04753253291713266	0.059	0.073	1	FALSE	Other	-0
PSMB4	0.00750840772198228	0.01733541449623477	0.358	0.4	1	FALSE	Other	-0
TRDC	0.00750956365078263	0.06877421719470515	0.022	0.014	1	FALSE	Other	-0
AC008124.1	0.00752515771136154	0.05040654841207338	0.034	0.024	1	FALSE	Other	-0
BACE1	0.00760564375964337	0.02529046793777882	0.011	0.006	1	FALSE	Other	-0
LINC01503	0.00761762250279821	0.06028646456894532	0.045	0.034	1	FALSE	Other	-0
AL161665.1	0.00761828103396495	-0.01030472171754922	0.001	0.003	1	FALSE	Other	-0
PRG2	0.00763048139276513	-0.01905967943650412	0.007	0.012	1	FALSE	Other	-0
ALKBH1	0.00763214199788956	-0.01843595768804266	0.011	0.017	1	FALSE	Other	-0
AC025171.3	0.00763215928484884	0.0291706740515998	0.02	0.012	1	FALSE	Other	-0
MRPL22	0.00763916564798068	-0.0072842280221369	0.093	0.111	1	FALSE	Other	-0
C2CD2L	0.00765342734668932	-0.00359993543073999	0.025	0.034	1	FALSE	Other	-0
CCDC163	0.00765492925899641	-0.00622572550150485	0.001	0.003	1	FALSE	Other	-0
SMCR5	0.00766044857050409	-0.02312500047174238	0.025	0.034	1	FALSE	Other	-0
EAPP	0.00766429468732052	-0.01042837072822555	0.225	0.253	1	FALSE	Other	-0
AL160006.1	0.00766963274016924	-0.00553545960860487	0.001	0.003	1	FALSE	Other	-0
UGDH-AS1	0.00766963274016924	-0.005858959892555	0.001	0.003	1	FALSE	Other	-0
DMXL1	0.00767589685742591	-0.02177929302393472	0.11	0.13	1	FALSE	Other	-0
ADGRG3	0.00767944911871808	-0.00482473581072972	0.001	0.003	1	FALSE	Other	-0
AC234775.3	0.00768190497216362	-0.00467331906339617	0.001	0.003	1	FALSE	Other	-0
AL139384.1	0.00770578730108508	0.04432175700492161	0.022	0.014	1	FALSE	Other	-0
B3GNT8	0.00772029583956319	0.02643882076397519	0.008	0.003	1	FALSE	Other	-0
RASA1	0.00772148318335766	-0.02763201458133327	0.046	0.059	1	FALSE	Other	-0
MAPK6-DT	0.00772301407889514	0.01075641667988069	0.011	0.006	1	FALSE	Other	-0
SPPL2B	0.00772312609375986	0.06604423723902773	0.031	0.022	1	FALSE	Other	-0
SAMD4A	0.00773330093656251	0.05707525212678002	0.053	0.041	1	FALSE	Other	-0
PROSER2	0.00774885831701417	0.02193402448016606	0.008	0.003	1	FALSE	Other	-0
AFF1	0.0077503544351537	0.00568967226038213	0.084	0.101	1	FALSE	Other	-0
