Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	significant	gene_class	-log10_p_val
SNX9	2.834470403648785e-23	-0.48313932942987936	0.485	0.62	1.0341565267712591e-18	TRUE	Other	17.985413722781495
SLAMF7	3.0280468817998755e-23	-0.629199916214064	0.532	0.639	1.1047829048246843e-18	TRUE	Other	17.956723054557727
DNAJB9	5.319650005565403e-23	-0.4160219324423533	0.297	0.434	1.9408743045305375e-18	TRUE	Other	17.712002589607206
IGKC	5.510475986149352e-23	1.0418766087896676	0.179	0.075	2.010497163546591e-18	TRUE	Other	17.6966965352728
COTL1	5.734737669665477e-23	0.46089691033151525	0.525	0.385	2.0923190387774493e-18	TRUE	Other	17.679372093123888
AC103591.3	9.607423882861275e-23	0.5916590476896855	0.531	0.417	3.505268603661936e-18	TRUE	Other	17.45527869706434
UQCRB	1.0199203459181802e-22	0.4077516496696072	0.753	0.655	3.721179382082481e-18	TRUE	Other	17.429319394001357
RHOQ	1.7944763452267957e-22	-0.525090506104186	0.349	0.481	6.547146945559964e-18	TRUE	Other	17.1839479115708
TKT	2.4591523932304224e-22	0.42760409062983173	0.543	0.398	8.972217506701197e-18	TRUE	Other	17.04710020668792
PABPC1	2.6280188468919557e-22	0.32251810194389074	0.93	0.898	9.5883267628853e-18	TRUE	Other	17.01825717396047
AKAP13	3.127581893028559e-22	0.5164867944966169	0.528	0.396	1.1410982536714695e-17	TRUE	Other	16.942676959271346
SNHG8	3.3636757575241583e-22	0.549661157919435	0.552	0.433	1.2272371001326892e-17	TRUE	Other	16.91107152420722
MIR3142HG	3.6409138919863627e-22	-0.40979736781344694	0.098	0.209	1.3283874334912245e-17	TRUE	Other	16.876675241468135
DNAJC3	5.199105788658056e-22	-0.4274065739244546	0.623	0.738	1.896893746991892e-17	TRUE	Other	16.721956995093137
D2HGDH	5.986441778902972e-22	-0.2760387402510538	0.014	0.079	2.1841532830327488e-17	TRUE	Other	16.660716886278973
ELOVL7	7.1150864716645305e-22	-0.3811869885610961	0.088	0.194	2.595939299186804e-17	TRUE	Other	16.585705466854883
FOLR3	7.714208907488772e-22	-0.2896060539464383	0.01	0.071	2.814529119897279e-17	TRUE	Other	16.55059425364962
JUND	8.832671405748606e-22	0.5244154607176541	0.571	0.453	3.2226001623873786e-17	TRUE	Other	16.49179357535668
EREG	9.14609183353939e-22	-0.5787637355625446	0.801	0.866	3.3369516054668464e-17	TRUE	Other	16.476650091706343
GSTK1	1.997562215746721e-21	0.45570642885269685	0.283	0.157	7.288105744151911e-17	TRUE	Other	16.137385334749588
PNRC1	2.0264180973381427e-21	-0.3049223754015751	0.929	0.962	7.393386428138214e-17	TRUE	Other	16.131156594056478
MMP2-AS1	2.229418016362224e-21	-0.3372552761195863	0.017	0.083	8.134031632697575e-17	TRUE	Other	16.08969414298635
APOBEC3A	2.2497974629060813e-21	0.8204806785031952	0.281	0.162	8.208386043412839e-17	TRUE	Other	16.085742226722825
SLC25A37	2.345354631311819e-21	-0.558715418714441	0.45	0.565	8.557026372341172e-17	TRUE	Other	16.06767712953407
MIR155HG	4.0516036447348365e-21	-0.5368052392086429	0.553	0.668	1.478227589781505e-16	TRUE	Other	15.830258696267977
SDC2	7.811718085376517e-21	-0.33609879610960697	0.042	0.126	2.850105343449622e-16	TRUE	Other	15.545139087628902
DMXL2	1.1166948359607928e-20	-0.4251920956254951	0.48	0.606	4.0742611090029525e-16	TRUE	Other	15.389951141618285
ARHGDIB	1.4997419035132663e-20	0.5466698720470333	0.442	0.307	5.471808334968152e-16	TRUE	Other	15.261869123371918
AC010980.1	1.7190668772005642e-20	-0.2900306714607982	0.043	0.128	6.272015501466258e-16	TRUE	Other	15.20259287695102
TMED7	1.770241701340078e-20	-0.33631500024873273	0.21	0.341	6.458726847339276e-16	TRUE	Other	15.189853082263129
MS4A7	2.019480090852051e-20	-0.52701826146940145	0.477	0.592	7.368073111473709e-16	TRUE	Other	15.132646073398604
TBC1D9	2.9077176915768144e-20	-0.5136195402011702	0.229	0.352	1.060880799771801e-15	TRUE	Other	14.974333410546876
CEBPB	3.077411381042346e-20	-0.4673126372865593	0.476	0.612	1.1227935423733e-15	TRUE	Other	14.949700093828573
TNFAIP3	3.6313653567978863e-20	-0.43091260036289736	0.736	0.837	1.3249036504277088e-15	TRUE	Other	14.877815703318898
MYDGF	4.465862064227062e-20	-0.35315091231252027	0.293	0.43	1.6293697741332437e-15	TRUE	Other	14.787980344395143
NBPF9	5.160406042953459e-20	-0.3095130295532826	0.053	0.14	1.8827741447715696e-15	TRUE	Other	14.725201774280956
TXN	5.2798703809929477e-20	-0.44643602492723344	0.697	0.805	1.926360708505277e-15	TRUE	Other	14.715262388527217
