Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene_class	-log10_p_val
TIMMDC1	0.1362312059629713	-0.06324303604360892	0.056	0.027	1	Other	-0
GLUL	0.13634095525736223	-0.8292074212803193	0.255	0.291	1	Other	-0
ATR	0.13634935850188118	-0.2961501510071423	0.017	0.034	1	Other	-0
NCEH1	0.13649510342761137	-0.3757731373721151	0.065	0.095	1	Other	-0
ESF1	0.13677941640634894	0.11527700841826365	0.097	0.061	1	Other	-0
KDM2A	0.13681260631548994	-0.4125387784352426	0.133	0.169	1	Other	-0
AZI2	0.13688973356216996	-0.0349294840933026	0.156	0.108	1	Other	-0
USP19	0.1369122805603047	-0.15808051970003306	0.008	0.02	1	Other	-0
NAPA	0.13691886427088526	-0.17230125559048182	0.169	0.115	1	Other	-0
EPAS1	0.13698897021155468	0.03503929771374621	0.015	0	1	Other	-0
GTDC1	0.13698897021155468	0.03200133910966731	0.015	0	1	Other	-0
ZCWPW2	0.13698897021155468	0.05183682537864458	0.015	0	1	Other	-0
AC123595.2	0.13698897021155468	0.04163999447430472	0.015	0	1	Other	-0
AL157786.1	0.13698897021155468	0.04625809730103308	0.015	0	1	Other	-0
TRPV2	0.13698897021155468	0.04196464398199622	0.015	0	1	Other	-0
DARS-AS1	0.1370308049732868	-0.30995426405795456	0.017	0.034	1	Other	-0
AC093673.1	0.13705751919213577	0.08850480973542385	0.162	0.115	1	Other	-0
GMFG	0.13720835476946097	-0.00184862296118537	0.441	0.372	1	Other	-0
MREG	0.13726559508031255	0.08612563589081129	0.098	0.061	1	Other	-0
AC104971.1	0.1373370538117631	0.06351016016830877	0.047	0.02	1	Other	-0
BIN2	0.13736408134302092	-0.0241481851679931	0.031	0.054	1	Other	-0
FAM32A	0.13737548993838916	0.05047460858426095	0.162	0.115	1	Other	-0
KLF10	0.13740651067685417	-1.057061613572377	0.221	0.264	1	Other	-0
BTD	0.1374807789125997	-0.10854559540291522	0.027	0.047	1	Other	-0
APH1B	0.13762570218145967	-0.10669529186854772	0.042	0.068	1	Other	-0
NDUFB6	0.13770501813511188	0.07712723479849332	0.046	0.02	1	Other	-0
CDKN2B	0.13778869906672034	-0.2815564847133865	0.17	0.122	1	Other	-0
LINC00623	0.13796437489036156	-0.1904846172141218	0.032	0.054	1	Other	-0
PRG2	0.13806660365125084	0.05438273926900787	0.027	0.007	1	Other	-0
ATP5MC1	0.1381561967059469	-0.07585467363287735	0.11	0.068	1	Other	-0
MYH9	0.13816475121307675	-0.11515519816417608	0.603	0.473	1	Other	-0
PTAR1	0.13830053140802656	0.02343960578132192	0.074	0.041	1	Other	-0
ALPK2	0.13835668090940134	-0.11940671822351556	0.209	0.162	1	Other	-0
SOCS5	0.13835891844570128	-0.0202043835801469	0.008	0.02	1	Other	-0
SNUPN	0.13835891844570128	-0.02384277348291122	0.008	0.02	1	Other	-0
