Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene_class	-log10_p_val
ZNF714	0.3590212623045044	-0.04905860131662984	0.005	0.014	1	Other	-0
PPP1R37	0.3590212623045044	-0.02966039796546519	0.005	0.014	1	Other	-0
PRR12	0.3590212623045044	-0.02705876657873357	0.005	0.014	1	Other	-0
ZNF432	0.3590212623045044	-0.0348610144763864	0.005	0.014	1	Other	-0
HSPBP1	0.3590212623045044	-0.0331866249141484	0.005	0.014	1	Other	-0
LAMP5	0.3590212623045044	-0.05067148033704659	0.005	0.014	1	Other	-0
PAXBP1-AS1	0.3590212623045044	-0.03869667070357471	0.005	0.014	1	Other	-0
AL021707.7	0.3590212623045044	-0.02576036921866523	0.005	0.014	1	Other	-0
MCAT	0.3590212623045044	-0.02666192389132302	0.005	0.014	1	Other	-0
AL354822.1	0.3590212623045044	-0.04094356020521347	0.005	0.014	1	Other	-0
ITPR1	0.3590374459943772	0.03034810709668417	0.051	0.032	1	Other	-0
CCPG1	0.35936256494193014	-0.1339836336713594	0.045	0.065	1	Other	-0
EFTUD2	0.3594497588632602	-0.04089349216175179	0.025	0.042	1	Other	-0
AC087741.1	0.3594497588632602	-0.04062042361779952	0.025	0.042	1	Other	-0
SEC22B	0.35949504123428333	-0.05845805193551112	0.424	0.458	1	Other	-0
SPCS1	0.35979282179114264	0.07630993592996183	0.212	0.176	1	Other	-0
BARD1	0.359887801832569	0.02646170557965133	0.02	0.009	1	Other	-0
DCSTAMP	0.359887801832569	0.02777073916437229	0.02	0.009	1	Other	-0
HOXB2	0.359887801832569	-0.03032546353986993	0.02	0.009	1	Other	-0
ZNF224	0.359887801832569	0.00860704918086639	0.02	0.009	1	Other	-0
AC245407.2	0.36000736380307735	0.06791479013212154	0.121	0.093	1	Other	-0
AC010359.3	0.360158230445718	-0.06664817849467414	0.136	0.167	1	Other	-0
CLU	0.3602918528699518	0.04507076701016233	0.051	0.032	1	Other	-0
DCUN1D1	0.36080830915309736	-0.10438006405423572	0.106	0.134	1	Other	-0
KMT2E	0.36087891213579865	-0.0721219613402968	0.338	0.375	1	Other	-0
GARS-DT	0.3611000164969472	-0.08355233377634608	0.116	0.144	1	Other	-0
LRRK2	0.36119449072197807	0.09241816126115454	0.045	0.028	1	Other	-0
TNFRSF8	0.3615694625781252	-0.11827113370081692	0.005	0.014	1	Other	-0
ZFP69B	0.3615694625781252	-0.02367752963129635	0.005	0.014	1	Other	-0
NBPF15	0.3615694625781252	-0.03156152777045444	0.005	0.014	1	Other	-0
TRIM58	0.3615694625781252	-0.02209706220047273	0.005	0.014	1	Other	-0
PREPL	0.3615694625781252	-0.1202729689477108	0.005	0.014	1	Other	-0
STK39	0.3615694625781252	-0.02396113095764281	0.005	0.014	1	Other	-0
AC021016.2	0.3615694625781252	-0.02157341351670462	0.005	0.014	1	Other	-0
PNKD	0.3615694625781252	-0.034737986865932	0.005	0.014	1	Other	-0
CMSS1	0.3615694625781252	-0.02026463098894633	0.005	0.014	1	Other	-0
ZBTB11-AS1	0.3615694625781252	-0.02413293794201273	0.005	0.014	1	Other	-0
GTF2E1	0.3615694625781252	-0.03776013176833531	0.005	0.014	1	Other	-0
GNPDA2	0.3615694625781252	-0.02806708294957071	0.005	0.014	1	Other	-0
PAM	0.3615694625781252	-0.02115069530298415	0.005	0.014	1	Other	-0
SPARC	0.3615694625781252	-0.02577606107583719	0.005	0.014	1	Other	-0
AGER	0.3615694625781252	-0.03047463480597429	0.005	0.014	1	Other	-0
AL133551.1	0.3615694625781252	-0.01736333469889302	0.005	0.014	1	Other	-0
