Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	significant	gene_class	-log10_p_val
CYSTM1	4.212107513921219e-4	-0.07925403836894196	0.14	0.175	1	FALSE	Other	-0
SLC16A1	4.217270838478545e-4	0.04631551152438368	0.079	0.053	1	FALSE	Other	-0
GATAD2B	4.218038429313986e-4	0.0020544471485222	0.04	0.062	1	FALSE	Other	-0
AL031123.1	4.224223504308037e-4	0.02929918046242771	0.006	0	1	FALSE	Other	-0
CLEC12A-AS1	4.224223504308037e-4	0.02273393322300426	0.006	0	1	FALSE	Other	-0
AL139234.1	4.224223504308037e-4	0.02658875877119235	0.006	0	1	FALSE	Other	-0
LINC00917	4.224223504308037e-4	0.02234076853390049	0.006	0	1	FALSE	Other	-0
TBC1D23	4.230155593879384e-4	-0.06459319137012637	0.125	0.16	1	FALSE	Other	-0
PAF1	4.249956179554643e-4	-0.03354648388631692	0.047	0.071	1	FALSE	Other	-0
TTC4	4.284551841268273e-4	0.06254014214409742	0.082	0.056	1	FALSE	Other	-0
TIMM50	4.2959985140399913e-4	-0.04888203398429423	0.017	0.031	1	FALSE	Other	-0
RIMKLB	4.300701195322741e-4	-0.04960419582368355	0.021	0.036	1	FALSE	Other	-0
CREB3L2	4.305299810732549e-4	0.10819152549207828	0.105	0.076	1	FALSE	Other	-0
USP32	4.31432313675625e-4	-0.02281216624565943	0.034	0.053	1	FALSE	Other	-0
AP000787.1	4.379684937940416e-4	0.11689195580039231	0.02	0.008	1	FALSE	Other	-0
DYRK1A	4.397220892802465e-4	-0.09548841047760592	0.177	0.216	1	FALSE	Other	-0
SHMT2	4.4193291504433715e-4	0.06100481949987257	0.156	0.12	1	FALSE	Other	-0
NDEL1	4.4204001829120697e-4	-0.09526184515661618	0.116	0.148	1	FALSE	Other	-0
TOM1	4.4453767601612904e-4	-0.1283870585884731	0.186	0.224	1	FALSE	Other	-0
FGD5-AS1	4.458839563033956e-4	-0.09694720494240884	0.125	0.157	1	FALSE	Other	-0
ISG15	4.4811375572978304e-4	0.13167309180168885	0.416	0.364	1	FALSE	Other	-0
CLPTM1L	4.4993625016033186e-4	-0.09229172295626488	0.066	0.092	1	FALSE	Other	-0
VSIR	4.5098288930281655e-4	0.0634646485315113	0.033	0.017	1	FALSE	Other	-0
MEF2D	4.563345139658823e-4	-0.05745520859731051	0.057	0.081	1	FALSE	Other	-0
LAMTOR5	4.6684053797698154e-4	-0.1084723183319002	0.244	0.285	1	FALSE	Other	-0
AL133445.2	4.670435887274195e-4	-0.02503388985723508	0.01	0.021	1	FALSE	Other	-0
CNOT8	4.7411126700956457e-4	-0.06684777125609609	0.05	0.074	1	FALSE	Other	-0
SAG	4.763555788989843e-4	0.022671255759522	0.007	0.001	1	FALSE	Other	-0
AP000692.2	4.787370544810694e-4	0.10427576507445883	0.028	0.014	1	FALSE	Other	-0
AC016866.1	4.803275500738747e-4	-0.01898055006773858	0.004	0.013	1	FALSE	Other	-0
GTF2A2	4.8096019594326287e-4	-0.10027998016161	0.162	0.198	1	FALSE	Other	-0
DHX58	4.869417423116536e-4	0.07879473166344916	0.07	0.046	1	FALSE	Other	-0
BAG4	4.88340969991744e-4	-0.03687004558188211	0.013	0.026	1	FALSE	Other	-0
AP3M1	4.888833193016561e-4	-0.02708622117067123	0.013	0.026	1	FALSE	Other	-0
RAB13	4.897352457535238e-4	-0.1894664786326422	0.192	0.226	1	FALSE	Other	-0
MED7	4.923747028844333e-4	-0.05371240566611648	0.025	0.042	1	FALSE	Other	-0
TMEM192	4.923823371105182e-4	-0.05058350931308474	0.008	0.019	1	FALSE	Other	-0
UBR5	4.928062520554922e-4	-0.07497498204067166	0.135	0.168	1	FALSE	Other	-0
GNG11	4.966748065979056e-4	0.05640299172550983	0.046	0.027	1	FALSE	Other	-0
