Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	significant	gene_class	-log10_p_val
IFNAR2	2.0480145081466097e-30	-0.2113414328211547	0.151	0.258	7.472180932972907e-26	FALSE	Other	25.126552620552005
VPS35	2.2807404689695377e-30	-0.2207282955989125	0.128	0.226	8.321281601035358e-26	FALSE	Other	25.0798097807533
TUBB	2.4153520151994717e-30	-0.2374753751860048	0.112	0.205	8.812411827455272e-26	FALSE	Other	25.054905215310185
BOD1L1	2.4449533698181668e-30	-0.24729621524932255	0.283	0.416	8.920412369781581e-26	FALSE	Other	25.049615068742586
TMEM245	2.692694183116745e-30	-0.24078473937651035	0.083	0.164	9.824294727101444e-26	FALSE	Other	25.00769861724995
CD7	3.4083184504764544e-30	-0.2922966294755971	0.298	0.429	1.2435249866563343e-25	TRUE	Other	24.905345483849658
YY1	3.635661822873006e-30	-0.2458482945810021	0.292	0.432	1.3264712160752162e-25	FALSE	Other	24.877302169605763
ANKH	3.7765173623279135e-30	-0.2486906320723442	0.106	0.195	1.3778623596453392e-25	FALSE	Other	24.860794163728883
CBX1	3.8187607754636496e-30	-0.2424244177961199	0.084	0.165	1.3932748689279128e-25	FALSE	Other	24.855963196366666
TMEM35B	4.7249139492633675e-30	-0.23866761590871857	0.09	0.174	1.7238848543887398e-25	FALSE	Other	24.76349174592061
ISCU	5.001370321331682e-30	-0.24027702758860017	0.385	0.541	1.824749961737864e-25	FALSE	Other	24.738796636783952
STMN1	5.3078334210959534e-30	-0.24555902344029856	0.074	0.151	1.9365630236868584e-25	FALSE	Other	24.712968364727963
SARAF	5.3619727675109075e-30	-0.18224312496483908	0.845	0.919	1.9563157642263543e-25	FALSE	Other	24.708561045461913
EPSTI1	6.582934947691881e-30	-0.28349709219208463	0.079	0.157	2.4017838156653827e-25	TRUE	Other	24.619466085979276
TOP2B	6.628443192096152e-30	-0.25008013482151936	0.112	0.202	2.418387498636281e-25	TRUE	Other	24.616474110821684
ASF1A	7.141043154235002e-30	-0.23802243304251425	0.076	0.154	2.6054095948226397e-25	FALSE	Other	24.584123991831643
UBE2Q1	9.261755035011056e-30	-0.2394335319565155	0.077	0.155	3.3791513245237836e-25	FALSE	Other	24.47119235929521
PPP1R15A	1.231664814669139e-29	0.5942500929139967	0.423	0.363	4.493729076320355e-25	TRUE	Other	24.347393114428204
DRAP1	1.3412239645863228e-29	-0.2483539053713479	0.274	0.404	4.893455634793199e-25	FALSE	Other	24.31038434474205
TBCA	1.353094463547889e-29	-0.23797504569661496	0.337	0.481	4.9367651502544745e-25	FALSE	Other	24.306557532366153
TRBC1	1.5430671337887704e-29	-0.3759792694901165	0.441	0.551	5.62988043762833e-25	TRUE	Other	24.24950082820898
